Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"Oct 28th, 2013",JON JONES,GEORGES ST-PIERRE,JOSE ALDO,ANDERSON SILVA,CAIN VELASQUEZ,RENAN BARAO,DEMETRIOUS JOHNSON,ANTHONY PETTIS,CHRIS WEIDMAN,BENSON HENDERSON,,,,,,,
"Nov 8th, 2013",JON JONES,GEORGES ST-PIERRE,JOSE ALDO,ANDERSON SILVA,CAIN VELASQUEZ,RENAN BARAO,DEMETRIOUS JOHNSON,ANTHONY PETTIS,CHRIS WEIDMAN,BENSON HENDERSON,,,,,,,
"Nov 11th, 2013",JON JONES,GEORGES ST-PIERRE,JOSE ALDO,ANDERSON SILVA,CAIN VELASQUEZ,RENAN BARAO,DEMETRIOUS JOHNSON,ANTHONY PETTIS,CHRIS WEIDMAN,BENSON HENDERSON,,,,,,,
"Nov 18th, 2013",JON JONES,GEORGES ST-PIERRE,JOSE ALDO,ANDERSON SILVA,CAIN VELASQUEZ,RENAN BARAO,DEMETRIOUS JOHNSON,ANTHONY PETTIS,CHRIS WEIDMAN,BENSON HENDERSON,,,,,,,
"Dec 3rd, 2013",JON JONES,GEORGES ST-PIERRE,JOSE ALDO,ANDERSON SILVA,CAIN VELASQUEZ,RENAN BARAO,DEMETRIOUS JOHNSON,ANTHONY PETTIS,CHRIS WEIDMAN,BENSON HENDERSON,,,,,,,
"Dec 9th, 2013",JON JONES,GEORGES ST-PIERRE,JOSE ALDO,ANDERSON SILVA,CAIN VELASQUEZ,RENAN BARAO,DEMETRIOUS JOHNSON,ANTHONY PETTIS,CHRIS WEIDMAN,BENSON HENDERSON,,,,,,,
"Dec 16th, 2013",JON JONES,JOSE ALDO,ANDERSON SILVA,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,RENAN BARAO,ANTHONY PETTIS,CHRIS WEIDMAN,BENSON HENDERSON,,,,,,,,
"Dec 30th, 2013",JON JONES,JOSE ALDO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,RENAN BARAO,ANDERSON SILVA,ANTHONY PETTIS,BENSON HENDERSON,,,VITOR BELFORT,DOMINICK CRUZ,URIJAH FABER,GILBERT MELENDEZ,,
"Jan 7th, 2014",JON JONES,JOSE ALDO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,RENAN BARAO,ANDERSON SILVA,ANTHONY PETTIS,BENSON HENDERSON,,,VITOR BELFORT,DOMINICK CRUZ,URIJAH FABER,GILBERT MELENDEZ,,
"Jan 17th, 2014",JON JONES,JOSE ALDO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,RENAN BARAO,ANDERSON SILVA,ANTHONY PETTIS,BENSON HENDERSON,,,VITOR BELFORT,URIJAH FABER,GILBERT MELENDEZ,DOMINICK CRUZ,,
"Jan 27th, 2014",JON JONES,JOSE ALDO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,RENAN BARAO,ANDERSON SILVA,ANTHONY PETTIS,,,VITOR BELFORT,BENSON HENDERSON,URIJAH FABER,GILBERT MELENDEZ,DOMINICK CRUZ,,
"Feb 3rd, 2014",JON JONES,JOSE ALDO,CAIN VELASQUEZ,RENAN BARAO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANDERSON SILVA,ANTHONY PETTIS,,,VITOR BELFORT,BENSON HENDERSON,URIJAH FABER,GILBERT MELENDEZ,ALEXANDER GUSTAFSSON,,
"Feb 17th, 2014",JON JONES,JOSE ALDO,CAIN VELASQUEZ,RENAN BARAO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANDERSON SILVA,ANTHONY PETTIS,,,VITOR BELFORT,BENSON HENDERSON,GILBERT MELENDEZ,URIJAH FABER,ALEXANDER GUSTAFSSON,,
"Feb 18th, 2014",JON JONES,JOSE ALDO,RENAN BARAO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANDERSON SILVA,ANTHONY PETTIS,,,VITOR BELFORT,BENSON HENDERSON,GILBERT MELENDEZ,URIJAH FABER,ALEXANDER GUSTAFSSON,,
"Feb 24th, 2014",JON JONES,JOSE ALDO,RENAN BARAO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANDERSON SILVA,ANTHONY PETTIS,,,VITOR BELFORT,BENSON HENDERSON,GILBERT MELENDEZ,URIJAH FABER,ALEXANDER GUSTAFSSON,,
"Feb 25th, 2014",JON JONES,JOSE ALDO,RENAN BARAO,CAIN VELASQUEZ,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANDERSON SILVA,ANTHONY PETTIS,,,VITOR BELFORT,BENSON HENDERSON,GILBERT MELENDEZ,URIJAH FABER,ALEXANDER GUSTAFSSON,,
"Mar 3rd, 2014",JON JONES,JOSE ALDO,RENAN BARAO,CAIN VELASQUEZ,CHRIS WEIDMAN,DEMETRIOUS JOHNSON,ANTHONY PETTIS,ANDERSON SILVA,,,VITOR BELFORT,BENSON HENDERSON,GILBERT MELENDEZ,ALEXANDER GUSTAFSSON,URIJAH FABER,,
