Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"Mar 2nd, 2015",JON JONES,JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,ANTHONY PETTIS,CAIN VELASQUEZ,,TJ DILLASHAW,ANDERSON SILVA,,RENAN BARAO,,VITOR BELFORT,DOMINICK CRUZ,FABRICIO WERDUM,,
"Mar 16th, 2015",JON JONES,JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,CAIN VELASQUEZ,,TJ DILLASHAW,,RAFAEL DOS ANJOS,ANTHONY PETTIS,ANDERSON SILVA,RENAN BARAO,,FABRICIO WERDUM,VITOR BELFORT,,
"Mar 23rd, 2015",JON JONES,JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,CAIN VELASQUEZ,,TJ DILLASHAW,,RAFAEL DOS ANJOS,ANTHONY PETTIS,ANDERSON SILVA,RENAN BARAO,,FABRICIO WERDUM,VITOR BELFORT,,
"Apr 6th, 2015",JON JONES,JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,CAIN VELASQUEZ,,TJ DILLASHAW,,RAFAEL DOS ANJOS,ANDERSON SILVA,ANTHONY PETTIS,RENAN BARAO,,FABRICIO WERDUM,VITOR BELFORT,,
"Apr 13th, 2015",JON JONES,JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,CAIN VELASQUEZ,,TJ DILLASHAW,RAFAEL DOS ANJOS,,ANDERSON SILVA,ANTHONY PETTIS,RENAN BARAO,,FABRICIO WERDUM,VITOR BELFORT,,
"Apr 20th, 2015",JON JONES,JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,CAIN VELASQUEZ,,TJ DILLASHAW,RAFAEL DOS ANJOS,,ANDERSON SILVA,ANTHONY PETTIS,RENAN BARAO,,FABRICIO WERDUM,VITOR BELFORT,,
"Apr 27th, 2015",JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,CAIN VELASQUEZ,,TJ DILLASHAW,RAFAEL DOS ANJOS,,ANDERSON SILVA,ANTHONY PETTIS,RENAN BARAO,,FABRICIO WERDUM,VITOR BELFORT,DOMINICK CRUZ,,
"May 11th, 2015",JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,,CAIN VELASQUEZ,TJ DILLASHAW,RAFAEL DOS ANJOS,,ANDERSON SILVA,ANTHONY PETTIS,RENAN BARAO,FABRICIO WERDUM,,VITOR BELFORT,DOMINICK CRUZ,,
"May 25th, 2015",JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,CAIN VELASQUEZ,,TJ DILLASHAW,RAFAEL DOS ANJOS,,DANIEL CORMIER,ANDERSON SILVA,ANTHONY PETTIS,RENAN BARAO,FRANKIE EDGAR,FABRICIO WERDUM,,,
"Jun 1st, 2015",JOSE ALDO,CHRIS WEIDMAN,DEMETRIOUS JOHNSON,CAIN VELASQUEZ,,TJ DILLASHAW,RAFAEL DOS ANJOS,,DANIEL CORMIER,ANTHONY PETTIS,RENAN BARAO,ANDERSON SILVA,FRANKIE EDGAR,FABRICIO WERDUM,,,
"Jun 8th, 2015",JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,CAIN VELASQUEZ,,TJ DILLASHAW,RAFAEL DOS ANJOS,,DANIEL CORMIER,ANDERSON SILVA,ANTHONY PETTIS,RENAN BARAO,FRANKIE EDGAR,FABRICIO WERDUM,,,
"Jun 15th, 2015",JOSE ALDO,CHRIS WEIDMAN,DEMETRIOUS JOHNSON,,TJ DILLASHAW,FABRICIO WERDUM,RAFAEL DOS ANJOS,,DANIEL CORMIER,CAIN VELASQUEZ,ANTHONY PETTIS,ANDERSON SILVA,RENAN BARAO,FRANKIE EDGAR,,,
"Jun 22nd, 2015",JOSE ALDO,CHRIS WEIDMAN,DEMETRIOUS JOHNSON,,TJ DILLASHAW,FABRICIO WERDUM,RAFAEL DOS ANJOS,,DANIEL CORMIER,CAIN VELASQUEZ,ANTHONY PETTIS,RENAN BARAO,ANDERSON SILVA,FRANKIE EDGAR,,,
"Jun 29th, 2015",JOSE ALDO,CHRIS WEIDMAN,DEMETRIOUS JOHNSON,,TJ DILLASHAW,FABRICIO WERDUM,RAFAEL DOS ANJOS,,DANIEL CORMIER,CAIN VELASQUEZ,ANDERSON SILVA,RENAN BARAO,ANTHONY PETTIS,FRANKIE EDGAR,,,
"Jul 13th, 2015",JOSE ALDO,CHRIS WEIDMAN,DEMETRIOUS JOHNSON,,FABRICIO WERDUM,TJ DILLASHAW,RAFAEL DOS ANJOS,,CAIN VELASQUEZ,DANIEL CORMIER,ANDERSON SILVA,RENAN BARAO,ANTHONY PETTIS,CONOR MCGREGOR,FRANKIE EDGAR,,
"Jul 20th, 2015",JOSE ALDO,CHRIS WEIDMAN,DEMETRIOUS JOHNSON,,FABRICIO WERDUM,TJ DILLASHAW,,RAFAEL DOS ANJOS,CAIN VELASQUEZ,DANIEL CORMIER,ANTHONY PETTIS,RENAN BARAO,ANDERSON SILVA,CONOR MCGREGOR,FRANKIE EDGAR,,
"Jul 27th, 2015",JOSE ALDO,CHRIS WEIDMAN,DEMETRIOUS JOHNSON,,TJ DILLASHAW,FABRICIO WERDUM,,RAFAEL DOS ANJOS,CAIN VELASQUEZ,DANIEL CORMIER,ANTHONY PETTIS,ANDERSON SILVA,CONOR MCGREGOR,FRANKIE EDGAR,,,
"Aug 3rd, 2015",JOSE ALDO,CHRIS WEIDMAN,DEMETRIOUS JOHNSON,,TJ DILLASHAW,FABRICIO WERDUM,,RAFAEL DOS ANJOS,DANIEL CORMIER,CAIN VELASQUEZ,ANDERSON SILVA,ANTHONY PETTIS,CONOR MCGREGOR,FRANKIE EDGAR,,,
"Aug 10th, 2015",JOSE ALDO,CHRIS WEIDMAN,DEMETRIOUS JOHNSON,,TJ DILLASHAW,FABRICIO WERDUM,,RAFAEL DOS ANJOS,DANIEL CORMIER,CAIN VELASQUEZ,ANTHONY PETTIS,CONOR MCGREGOR,FRANKIE EDGAR,,,,
"Aug 25th, 2015",JOSE ALDO,CHRIS WEIDMAN,DEMETRIOUS JOHNSON,,TJ DILLASHAW,,FABRICIO WERDUM,RAFAEL DOS ANJOS,DANIEL CORMIER,CAIN VELASQUEZ,CONOR MCGREGOR,ANTHONY PETTIS,FRANKIE EDGAR,,,,
"Sep 7th, 2015",JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,,TJ DILLASHAW,FABRICIO WERDUM,,RAFAEL DOS ANJOS,DANIEL CORMIER,CAIN VELASQUEZ,CONOR MCGREGOR,ANTHONY PETTIS,FRANKIE EDGAR,,,,
"Sep 28th, 2015",JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,,TJ DILLASHAW,,FABRICIO WERDUM,RAFAEL DOS ANJOS,DANIEL CORMIER,CAIN VELASQUEZ,CONOR MCGREGOR,ANTHONY PETTIS,FRANKIE EDGAR,,,,
"Oct 5th, 2015",JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,,TJ DILLASHAW,,FABRICIO WERDUM,RAFAEL DOS ANJOS,DANIEL CORMIER,CAIN VELASQUEZ,CONOR MCGREGOR,ANTHONY PETTIS,FRANKIE EDGAR,,,,
"Oct 26th, 2015",JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,,TJ DILLASHAW,,FABRICIO WERDUM,DANIEL CORMIER,RAFAEL DOS ANJOS,CAIN VELASQUEZ,CONOR MCGREGOR,FRANKIE EDGAR,ANTHONY PETTIS,,RENAN BARAO,,
"Nov 9th, 2015",JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,,TJ DILLASHAW,,FABRICIO WERDUM,DANIEL CORMIER,RAFAEL DOS ANJOS,CAIN VELASQUEZ,CONOR MCGREGOR,FRANKIE EDGAR,ANTHONY PETTIS,,RENAN BARAO,,
"Nov 16th, 2015",JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,TJ DILLASHAW,JON JONES,,FABRICIO WERDUM,DANIEL CORMIER,RAFAEL DOS ANJOS,CAIN VELASQUEZ,,CONOR MCGREGOR,,ANTHONY PETTIS,,,
"Nov 23rd, 2015",JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,JON JONES,TJ DILLASHAW,FABRICIO WERDUM,,DANIEL CORMIER,RAFAEL DOS ANJOS,CAIN VELASQUEZ,,CONOR MCGREGOR,,,ANTHONY PETTIS,,
"Nov 30th, 2015",JOSE ALDO,DEMETRIOUS JOHNSON,CHRIS WEIDMAN,JON JONES,TJ DILLASHAW,FABRICIO WERDUM,,DANIEL CORMIER,RAFAEL DOS ANJOS,CAIN VELASQUEZ,,CONOR MCGREGOR,,,ANTHONY PETTIS,,
"Dec 14th, 2015",DEMETRIOUS JOHNSON,JON JONES,CONOR MCGREGOR,TJ DILLASHAW,FABRICIO WERDUM,JOSE ALDO,,DANIEL CORMIER,LUKE ROCKHOLD,RAFAEL DOS ANJOS,CHRIS WEIDMAN,CAIN VELASQUEZ,,,,,
"Dec 21st, 2015",DEMETRIOUS JOHNSON,JON JONES,CONOR MCGREGOR,TJ DILLASHAW,FABRICIO WERDUM,,JOSE ALDO,RAFAEL DOS ANJOS,LUKE ROCKHOLD,DANIEL CORMIER,CHRIS WEIDMAN,CAIN VELASQUEZ,,,,,
"Jan 4th, 2016",JON JONES,DEMETRIOUS JOHNSON,CONOR MCGREGOR,TJ DILLASHAW,,RAFAEL DOS ANJOS,FABRICIO WERDUM,JOSE ALDO,LUKE ROCKHOLD,DANIEL CORMIER,CHRIS WEIDMAN,CAIN VELASQUEZ,,,,,
"Jan 19th, 2016",JON JONES,DEMETRIOUS JOHNSON,CONOR MCGREGOR,,FABRICIO WERDUM,RAFAEL DOS ANJOS,LUKE ROCKHOLD,JOSE ALDO,DOMINICK CRUZ,DANIEL CORMIER,CHRIS WEIDMAN,TJ DILLASHAW,,,CAIN VELASQUEZ,,
"Feb 1st, 2016",JON JONES,DEMETRIOUS JOHNSON,CONOR MCGREGOR,,FABRICIO WERDUM,RAFAEL DOS ANJOS,LUKE ROCKHOLD,DOMINICK CRUZ,JOSE ALDO,DANIEL CORMIER,CHRIS WEIDMAN,TJ DILLASHAW,,,,,
"Feb 8th, 2016",JON JONES,DEMETRIOUS JOHNSON,CONOR MCGREGOR,RAFAEL DOS ANJOS,FABRICIO WERDUM,,DOMINICK CRUZ,LUKE ROCKHOLD,JOSE ALDO,DANIEL CORMIER,CHRIS WEIDMAN,TJ DILLASHAW,,,FRANKIE EDGAR,,
"Feb 23rd, 2016",JON JONES,DEMETRIOUS JOHNSON,CONOR MCGREGOR,DOMINICK CRUZ,RAFAEL DOS ANJOS,FABRICIO WERDUM,LUKE ROCKHOLD,,DANIEL CORMIER,JOSE ALDO,CHRIS WEIDMAN,TJ DILLASHAW,,FRANKIE EDGAR,,,
"Feb 29th, 2016",JON JONES,DEMETRIOUS JOHNSON,CONOR MCGREGOR,DOMINICK CRUZ,FABRICIO WERDUM,LUKE ROCKHOLD,RAFAEL DOS ANJOS,,DANIEL CORMIER,JOSE ALDO,CHRIS WEIDMAN,TJ DILLASHAW,,FRANKIE EDGAR,,,
"Mar 7th, 2016",JON JONES,DEMETRIOUS JOHNSON,LUKE ROCKHOLD,DOMINICK CRUZ,FABRICIO WERDUM,RAFAEL DOS ANJOS,,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,CHRIS WEIDMAN,FRANKIE EDGAR,TJ DILLASHAW,,,,
"Mar 21st, 2016",JON JONES,DEMETRIOUS JOHNSON,LUKE ROCKHOLD,FABRICIO WERDUM,DOMINICK CRUZ,RAFAEL DOS ANJOS,,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,CHRIS WEIDMAN,FRANKIE EDGAR,TJ DILLASHAW,,,,
"Apr 12th, 2016",JON JONES,DEMETRIOUS JOHNSON,LUKE ROCKHOLD,FABRICIO WERDUM,DOMINICK CRUZ,RAFAEL DOS ANJOS,,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,CHRIS WEIDMAN,FRANKIE EDGAR,TJ DILLASHAW,,,,
"Apr 18th, 2016",JON JONES,DEMETRIOUS JOHNSON,LUKE ROCKHOLD,FABRICIO WERDUM,DOMINICK CRUZ,RAFAEL DOS ANJOS,,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,CHRIS WEIDMAN,FRANKIE EDGAR,TJ DILLASHAW,,,,
"Apr 25th, 2016",JON JONES,DEMETRIOUS JOHNSON,LUKE ROCKHOLD,FABRICIO WERDUM,DOMINICK CRUZ,RAFAEL DOS ANJOS,,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,CHRIS WEIDMAN,FRANKIE EDGAR,TJ DILLASHAW,,,,
"May 10th, 2016",JON JONES,DEMETRIOUS JOHNSON,LUKE ROCKHOLD,FABRICIO WERDUM,DOMINICK CRUZ,RAFAEL DOS ANJOS,,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,CHRIS WEIDMAN,FRANKIE EDGAR,TJ DILLASHAW,,CAIN VELASQUEZ,,
"May 16th, 2016",JON JONES,DEMETRIOUS JOHNSON,LUKE ROCKHOLD,DOMINICK CRUZ,RAFAEL DOS ANJOS,,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,CHRIS WEIDMAN,FRANKIE EDGAR,,STIPE MIOCIC,TJ DILLASHAW,FABRICIO WERDUM,,
"May 31st, 2016",JON JONES,DEMETRIOUS JOHNSON,LUKE ROCKHOLD,DOMINICK CRUZ,,RAFAEL DOS ANJOS,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,CHRIS WEIDMAN,FRANKIE EDGAR,,STIPE MIOCIC,TJ DILLASHAW,FABRICIO WERDUM,,
"Jun 6th, 2016",JON JONES,DEMETRIOUS JOHNSON,DOMINICK CRUZ,,RAFAEL DOS ANJOS,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,MICHAEL BISPING,FRANKIE EDGAR,STIPE MIOCIC,,LUKE ROCKHOLD,CHRIS WEIDMAN,FABRICIO WERDUM,,
"Jun 20th, 2016",JON JONES,DEMETRIOUS JOHNSON,DOMINICK CRUZ,,RAFAEL DOS ANJOS,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,MICHAEL BISPING,FRANKIE EDGAR,STIPE MIOCIC,,LUKE ROCKHOLD,CHRIS WEIDMAN,FABRICIO WERDUM,,
"Jul 11th, 2016",DEMETRIOUS JOHNSON,DOMINICK CRUZ,JON JONES,,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,EDDIE ALVAREZ,,STIPE MIOCIC,MICHAEL BISPING,LUKE ROCKHOLD,RAFAEL DOS ANJOS,FRANKIE EDGAR,TJ DILLASHAW,,
"Jul 15th, 2016",DEMETRIOUS JOHNSON,DOMINICK CRUZ,JON JONES,,DANIEL CORMIER,CONOR MCGREGOR,JOSE ALDO,EDDIE ALVAREZ,,STIPE MIOCIC,MICHAEL BISPING,LUKE ROCKHOLD,RAFAEL DOS ANJOS,FRANKIE EDGAR,TJ DILLASHAW,,
"Jul 27th, 2016",DEMETRIOUS JOHNSON,DOMINICK CRUZ,JON JONES,,DANIEL CORMIER,CONOR MCGREGOR,JOSE ALDO,EDDIE ALVAREZ,,STIPE MIOCIC,MICHAEL BISPING,LUKE ROCKHOLD,RAFAEL DOS ANJOS,TJ DILLASHAW,FRANKIE EDGAR,,
"Aug 3rd, 2016",DEMETRIOUS JOHNSON,DOMINICK CRUZ,DANIEL CORMIER,JON JONES,CONOR MCGREGOR,JOSE ALDO,EDDIE ALVAREZ,,STIPE MIOCIC,TYRON WOODLEY,MICHAEL BISPING,,RAFAEL DOS ANJOS,LUKE ROCKHOLD,TJ DILLASHAW,,
"Aug 9th, 2016",DEMETRIOUS JOHNSON,DOMINICK CRUZ,DANIEL CORMIER,CONOR MCGREGOR,JOSE ALDO,EDDIE ALVAREZ,,STIPE MIOCIC,TYRON WOODLEY,MICHAEL BISPING,,RAFAEL DOS ANJOS,LUKE ROCKHOLD,TJ DILLASHAW,FRANKIE EDGAR,,
"Aug 24th, 2016",DEMETRIOUS JOHNSON,DOMINICK CRUZ,DANIEL CORMIER,CONOR MCGREGOR,JOSE ALDO,EDDIE ALVAREZ,,STIPE MIOCIC,TYRON WOODLEY,MICHAEL BISPING,,LUKE ROCKHOLD,RAFAEL DOS ANJOS,TJ DILLASHAW,FRANKIE EDGAR,,
"Aug 31st, 2016",DEMETRIOUS JOHNSON,DOMINICK CRUZ,DANIEL CORMIER,CONOR MCGREGOR,JOSE ALDO,EDDIE ALVAREZ,,STIPE MIOCIC,TYRON WOODLEY,MICHAEL BISPING,,LUKE ROCKHOLD,RAFAEL DOS ANJOS,TJ DILLASHAW,FRANKIE EDGAR,,
"Sep 5th, 2016",DEMETRIOUS JOHNSON,DOMINICK CRUZ,DANIEL CORMIER,CONOR MCGREGOR,JOSE ALDO,EDDIE ALVAREZ,,STIPE MIOCIC,TYRON WOODLEY,MICHAEL BISPING,,LUKE ROCKHOLD,RAFAEL DOS ANJOS,TJ DILLASHAW,FRANKIE EDGAR,,
"Sep 14th, 2016",DEMETRIOUS JOHNSON,DOMINICK CRUZ,DANIEL CORMIER,CONOR MCGREGOR,JOSE ALDO,STIPE MIOCIC,EDDIE ALVAREZ,,TYRON WOODLEY,MICHAEL BISPING,,LUKE ROCKHOLD,RAFAEL DOS ANJOS,TJ DILLASHAW,FRANKIE EDGAR,,
"Sep 21st, 2016",DEMETRIOUS JOHNSON,DOMINICK CRUZ,DANIEL CORMIER,CONOR MCGREGOR,JOSE ALDO,STIPE MIOCIC,EDDIE ALVAREZ,,TYRON WOODLEY,MICHAEL BISPING,,LUKE ROCKHOLD,RAFAEL DOS ANJOS,TJ DILLASHAW,FRANKIE EDGAR,,
"Sep 26th, 2016",DEMETRIOUS JOHNSON,DOMINICK CRUZ,DANIEL CORMIER,CONOR MCGREGOR,JOSE ALDO,STIPE MIOCIC,EDDIE ALVAREZ,,TYRON WOODLEY,MICHAEL BISPING,,RAFAEL DOS ANJOS,LUKE ROCKHOLD,TJ DILLASHAW,,,
"Oct 5th, 2016",DEMETRIOUS JOHNSON,DOMINICK CRUZ,DANIEL CORMIER,CONOR MCGREGOR,JOSE ALDO,STIPE MIOCIC,EDDIE ALVAREZ,,TYRON WOODLEY,MICHAEL BISPING,,RAFAEL DOS ANJOS,LUKE ROCKHOLD,TJ DILLASHAW,,,
"Oct 12th, 2016",DEMETRIOUS JOHNSON,DOMINICK CRUZ,DANIEL CORMIER,CONOR MCGREGOR,JOSE ALDO,STIPE MIOCIC,EDDIE ALVAREZ,,TYRON WOODLEY,MICHAEL BISPING,,RAFAEL DOS ANJOS,LUKE ROCKHOLD,TJ DILLASHAW,,,
"Nov 7th, 2016",DEMETRIOUS JOHNSON,DOMINICK CRUZ,DANIEL CORMIER,CONOR MCGREGOR,JOSE ALDO,STIPE MIOCIC,EDDIE ALVAREZ,,TYRON WOODLEY,MICHAEL BISPING,,LUKE ROCKHOLD,TJ DILLASHAW,,,,
"Nov 16th, 2016",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DOMINICK CRUZ,DANIEL CORMIER,JOSE ALDO,STIPE MIOCIC,,TYRON WOODLEY,MICHAEL BISPING,,,LUKE ROCKHOLD,,TJ DILLASHAW,KHABIB NURMAGOMEDOV,,
"Nov 21st, 2016",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DOMINICK CRUZ,DANIEL CORMIER,JOSE ALDO,STIPE MIOCIC,,TYRON WOODLEY,MICHAEL BISPING,,,LUKE ROCKHOLD,,KHABIB NURMAGOMEDOV,TJ DILLASHAW,,
"Nov 30th, 2016",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DOMINICK CRUZ,DANIEL CORMIER,JOSE ALDO,STIPE MIOCIC,,TYRON WOODLEY,MICHAEL BISPING,,,LUKE ROCKHOLD,,KHABIB NURMAGOMEDOV,TJ DILLASHAW,,
"Dec 5th, 2016",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DOMINICK CRUZ,DANIEL CORMIER,JOSE ALDO,STIPE MIOCIC,,TYRON WOODLEY,MICHAEL BISPING,,,LUKE ROCKHOLD,,KHABIB NURMAGOMEDOV,TJ DILLASHAW,,
"Dec 14th, 2016",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DOMINICK CRUZ,DANIEL CORMIER,JOSE ALDO,STIPE MIOCIC,,TYRON WOODLEY,MICHAEL BISPING,MAX HOLLOWAY,,KHABIB NURMAGOMEDOV,,TJ DILLASHAW,,,
"Dec 19th, 2016",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DOMINICK CRUZ,DANIEL CORMIER,JOSE ALDO,STIPE MIOCIC,,TYRON WOODLEY,MICHAEL BISPING,MAX HOLLOWAY,,KHABIB NURMAGOMEDOV,TJ DILLASHAW,,LUKE ROCKHOLD,,
"Jan 2nd, 2017",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,CODY GARBRANDT,STIPE MIOCIC,,DOMINICK CRUZ,TYRON WOODLEY,MICHAEL BISPING,,MAX HOLLOWAY,KHABIB NURMAGOMEDOV,TJ DILLASHAW,LUKE ROCKHOLD,,
"Jan 18th, 2017",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,CODY GARBRANDT,,STIPE MIOCIC,DOMINICK CRUZ,TYRON WOODLEY,MICHAEL BISPING,,TJ DILLASHAW,MAX HOLLOWAY,KHABIB NURMAGOMEDOV,LUKE ROCKHOLD,,
"Feb 1st, 2017",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,CODY GARBRANDT,STIPE MIOCIC,,DOMINICK CRUZ,TYRON WOODLEY,MICHAEL BISPING,,TJ DILLASHAW,MAX HOLLOWAY,KHABIB NURMAGOMEDOV,YOEL ROMERO,,
"Feb 8th, 2017",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,CODY GARBRANDT,STIPE MIOCIC,,DOMINICK CRUZ,TYRON WOODLEY,MICHAEL BISPING,,TJ DILLASHAW,MAX HOLLOWAY,KHABIB NURMAGOMEDOV,YOEL ROMERO,,
"Feb 13th, 2017",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,CODY GARBRANDT,STIPE MIOCIC,,DOMINICK CRUZ,TYRON WOODLEY,MICHAEL BISPING,,MAX HOLLOWAY,KHABIB NURMAGOMEDOV,TJ DILLASHAW,YOEL ROMERO,,
"Feb 21st, 2017",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,CODY GARBRANDT,STIPE MIOCIC,,DOMINICK CRUZ,TYRON WOODLEY,MICHAEL BISPING,,MAX HOLLOWAY,KHABIB NURMAGOMEDOV,TJ DILLASHAW,YOEL ROMERO,,
"Mar 6th, 2017",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,CODY GARBRANDT,STIPE MIOCIC,,TYRON WOODLEY,DOMINICK CRUZ,MICHAEL BISPING,,MAX HOLLOWAY,TJ DILLASHAW,KHABIB NURMAGOMEDOV,YOEL ROMERO,,
"Mar 15th, 2017",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,CODY GARBRANDT,STIPE MIOCIC,,TYRON WOODLEY,DOMINICK CRUZ,MICHAEL BISPING,,MAX HOLLOWAY,TJ DILLASHAW,KHABIB NURMAGOMEDOV,YOEL ROMERO,,
"Mar 22nd, 2017",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,CODY GARBRANDT,STIPE MIOCIC,,TYRON WOODLEY,DOMINICK CRUZ,MICHAEL BISPING,,MAX HOLLOWAY,TJ DILLASHAW,KHABIB NURMAGOMEDOV,YOEL ROMERO,,
"Apr 12th, 2017",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,CODY GARBRANDT,STIPE MIOCIC,,DOMINICK CRUZ,TYRON WOODLEY,MICHAEL BISPING,,MAX HOLLOWAY,TJ DILLASHAW,KHABIB NURMAGOMEDOV,YOEL ROMERO,,
"Apr 19th, 2017",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,CODY GARBRANDT,STIPE MIOCIC,,DOMINICK CRUZ,TYRON WOODLEY,MICHAEL BISPING,,MAX HOLLOWAY,TJ DILLASHAW,KHABIB NURMAGOMEDOV,YOEL ROMERO,,
"Apr 26th, 2017",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,CODY GARBRANDT,STIPE MIOCIC,,DOMINICK CRUZ,TYRON WOODLEY,MICHAEL BISPING,,MAX HOLLOWAY,TJ DILLASHAW,KHABIB NURMAGOMEDOV,YOEL ROMERO,,
"May 17th, 2017",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,STIPE MIOCIC,CODY GARBRANDT,,DOMINICK CRUZ,TYRON WOODLEY,MICHAEL BISPING,,MAX HOLLOWAY,TJ DILLASHAW,KHABIB NURMAGOMEDOV,FRANKIE EDGAR,,
"May 31st, 2017",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DANIEL CORMIER,JOSE ALDO,STIPE MIOCIC,CODY GARBRANDT,,DOMINICK CRUZ,TYRON WOODLEY,MICHAEL BISPING,,MAX HOLLOWAY,TJ DILLASHAW,KHABIB NURMAGOMEDOV,FRANKIE EDGAR,,
"Jun 7th, 2017",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DANIEL CORMIER,STIPE MIOCIC,MAX HOLLOWAY,CODY GARBRANDT,,DOMINICK CRUZ,TYRON WOODLEY,JOSE ALDO,MICHAEL BISPING,,TJ DILLASHAW,KHABIB NURMAGOMEDOV,FRANKIE EDGAR,,
"Jun 14th, 2017",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DANIEL CORMIER,STIPE MIOCIC,MAX HOLLOWAY,CODY GARBRANDT,,DOMINICK CRUZ,TYRON WOODLEY,JOSE ALDO,MICHAEL BISPING,,TJ DILLASHAW,KHABIB NURMAGOMEDOV,FRANKIE EDGAR,,
"Jun 21st, 2017",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DANIEL CORMIER,STIPE MIOCIC,MAX HOLLOWAY,CODY GARBRANDT,,DOMINICK CRUZ,TYRON WOODLEY,JOSE ALDO,MICHAEL BISPING,,TJ DILLASHAW,KHABIB NURMAGOMEDOV,FRANKIE EDGAR,,
"Jun 28th, 2017",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DANIEL CORMIER,STIPE MIOCIC,MAX HOLLOWAY,CODY GARBRANDT,,DOMINICK CRUZ,TYRON WOODLEY,JOSE ALDO,MICHAEL BISPING,,TJ DILLASHAW,KHABIB NURMAGOMEDOV,FRANKIE EDGAR,,
"Jul 10th, 2017",DEMETRIOUS JOHNSON,CONOR MCGREGOR,DANIEL CORMIER,STIPE MIOCIC,MAX HOLLOWAY,CODY GARBRANDT,,TYRON WOODLEY,DOMINICK CRUZ,MICHAEL BISPING,JOSE ALDO,,ROBERT WHITTAKER,TJ DILLASHAW,KHABIB NURMAGOMEDOV,,
